Id;Apellidos;Nombre;UF1
1;Lopez Garcia;Carlos;7
2;Martinez Ruiz;Ana;9
3;Sanchez Torres;Luis;5
4;Gomez Diaz;Lucia;6
5;Perez Ramos;Javier;8
6;Morales Vega;Elena;4
7;Herrera Cruz;David;10
8;Romero Soto;Paula;3
9;Navarro Ortega;Manuel;6
10;Gil Morales;Sara;7
11;Castro Marin;Mario;6
12;Jimenez Cruz;Clara;5
13;Ruiz Santos;Miguel;4
14;Fernandez Cano;Andrea;9
15;Vazquez Leon;Sergio;8
16;Ortega Paredes;Laura;7
17;Molina Vidal;Nuria;3
18;Iglesias Rojas;Pedro;6
19;Delgado Soto;Eva;4
20;Carrillo Pena;Alberto;5
21;Serrano Lozano;Lucia;8
22;Reyes Molina;Victor;9
23;Campos Guerra;Alejandro;5
24;Silva Rivas;Cristina;6
25;Ramos Navarro;Oscar;7
26;Alonso Sanz;Julia;4
27;Pascual Bravo;Daniel;8
28;Nieto Duran;Adrian;6
29;Ferrer Lozano;Marta;7
30;Benitez Arias;Raul;5
